Gender,Experience,Degree,Selected
Male,0,MSc,0
Female,3,BCA,0
Male,1,MSc,0
Male,9,MCA,1
Male,0,BTech,0
Male,3,BSc,0
Male,8,BCA,1
Female,3,MCA,0
Female,0,BCA,0
Female,5,MTech,1
Male,3,MTech,0
Male,1,MCA,0
Male,5,MTech,1
Female,0,MSc,0
Female,8,BTech,1
Female,1,BSc,0
Female,10,BSc,1
Female,9,BCA,1
Male,0,MSc,0
Male,4,BTech,0
Male,1,MCA,0
Female,7,MSc,1
Female,2,MTech,0
Female,3,MSc,0
Female,10,MSc,1
Male,9,MSc,1
Male,8,MSc,1
Male,2,MCA,0
Female,4,MSc,1
Male,10,MTech,1
Male,3,BTech,0
Female,6,MTech,1
Male,3,BSc,0
Female,3,MSc,0
Female,6,MSc,1
Female,2,MTech,0
Male,3,MSc,0
Female,9,MCA,1
Female,5,BCA,0
Male,8,MCA,1
Male,0,BTech,0
Male,10,BCA,1
Female,9,BTech,1
Female,6,BSc,1
Female,8,MTech,1
Male,10,MSc,1
Male,10,BSc,1
Female,10,MTech,1
Male,4,MCA,1
Male,7,BTech,1
Female,8,BCA,1
Male,10,MTech,1
Male,2,MTech,0
Male,8,BSc,1
Male,9,MTech,1
Female,0,BTech,0
Female,4,BCA,0
Male,3,BSc,0
Male,1,MSc,0
Female,1,BSc,0
Male,2,MSc,0
Female,8,BCA,1
Female,8,BSc,1
Female,3,BSc,0
Male,4,MCA,1
Female,7,BSc,1
Female,1,BCA,0
Male,1,MTech,0
Male,9,BSc,1
Male,9,BCA,1
Male,1,MSc,0
Male,3,BTech,0
Male,5,BTech,1
Male,4,MSc,1
Female,3,BSc,0
Male,9,BSc,1
Female,3,MCA,0
Female,3,BTech,0
Male,10,MCA,1
Female,6,MCA,1
Female,0,MSc,0
Male,0,MCA,0
Female,1,BCA,0
Male,3,BSc,0
Female,2,MCA,0
Male,4,MCA,1
Male,1,MCA,0
Male,0,MSc,0
Male,1,BCA,0
Male,6,MCA,1
Female,3,MCA,0
Male,2,MCA,0
Male,6,MTech,1
Female,4,MCA,1
Female,2,BCA,0
Female,3,BTech,0
Male,5,BTech,1
Male,9,MCA,1
Male,0,BSc,0
Male,2,BTech,0
Male,10,BCA,1
Female,1,BSc,0
Male,9,BSc,1
Male,9,BTech,1
Female,10,BSc,1
Female,4,BCA,0
Female,3,MTech,0
Female,2,MSc,0
Female,7,MTech,1
Male,0,MCA,0
Male,1,BSc,0
Male,8,MTech,1
Male,5,BTech,1
Male,5,MTech,1
Male,7,BSc,1
Female,9,MSc,1
Male,10,BSc,1
Female,10,BTech,1
Male,4,BTech,0
Male,8,BCA,1
Female,4,BSc,0
Male,5,BCA,0
Female,8,MCA,1
Female,0,BTech,0
Female,4,BTech,0
Male,5,BCA,0
Female,2,MSc,0
Female,8,MSc,1
Female,8,BTech,1
Male,1,MSc,0
Male,8,BTech,1
Female,9,BSc,1
Male,6,BCA,1
Male,4,MTech,1
Male,5,BCA,0
Male,10,BTech,1
Female,8,MCA,1
Male,3,BCA,0
Male,6,BTech,1
Male,5,MCA,1
Male,4,BCA,0
Male,6,BTech,1
Female,3,BCA,0
Female,5,MTech,1
Male,3,BTech,0
Male,6,MTech,1
Female,1,MTech,0
Female,10,BSc,1
Female,10,BSc,1
Female,0,BTech,0
